DATE,NYGDPMKTPCDWLD
1975-01-01,5916138399186.38
1975-01-01,5916138399186.38
1975-01-01,5916138399186.38
1975-01-01,5916138399186.38
1975-01-01,5916138399186.38
1975-01-01,5916138399186.38
1975-01-01,5916138399186.38
1976-01-01,6436618979871.82
1976-01-01,6436618979871.82
1976-01-01,6436618979871.82
1976-01-01,6436618979871.82
1976-01-01,6436618979871.82
1976-01-01,6436618979871.82
1976-01-01,6436618979871.82
1976-01-01,6436618979871.82
1976-01-01,6436618979871.82
1976-01-01,6436618979871.82
1976-01-01,6436618979871.82
1976-01-01,6436618979871.82
1977-01-01,7280008873683.09
1977-01-01,7280008873683.09
1977-01-01,7280008873683.09
1977-01-01,7280008873683.09
1977-01-01,7280008873683.09
1977-01-01,7280008873683.09
1977-01-01,7280008873683.09
1977-01-01,7280008873683.09
1977-01-01,7280008873683.09
1977-01-01,7280008873683.09
1977-01-01,7280008873683.09
1977-01-01,7280008873683.09
1978-01-01,8570950836042.56
1978-01-01,8570950836042.56
1978-01-01,8570950836042.56
1978-01-01,8570950836042.56
1978-01-01,8570950836042.56
1978-01-01,8570950836042.56
1978-01-01,8570950836042.56
1978-01-01,8570950836042.56
1978-01-01,8570950836042.56
1978-01-01,8570950836042.56
1978-01-01,8570950836042.56
1978-01-01,8570950836042.56
1979-01-01,9958993254911.54
1979-01-01,9958993254911.54
1979-01-01,9958993254911.54
1979-01-01,9958993254911.54
1979-01-01,9958993254911.54
1979-01-01,9958993254911.54
1979-01-01,9958993254911.54
1979-01-01,9958993254911.54
1979-01-01,9958993254911.54
1979-01-01,9958993254911.54
1979-01-01,9958993254911.54
1979-01-01,9958993254911.54
1980-01-01,11219651208332.4
1980-01-01,11219651208332.4
1980-01-01,11219651208332.4
1980-01-01,11219651208332.4
1980-01-01,11219651208332.4
1980-01-01,11219651208332.4
1980-01-01,11219651208332.4
1980-01-01,11219651208332.4
1980-01-01,11219651208332.4
1980-01-01,11219651208332.4
1980-01-01,11219651208332.4
1980-01-01,11219651208332.4
1981-01-01,11616548460676.7
1981-01-01,11616548460676.7
1981-01-01,11616548460676.7
1981-01-01,11616548460676.7
1981-01-01,11616548460676.7
1981-01-01,11616548460676.7
1981-01-01,11616548460676.7
1981-01-01,11616548460676.7
1981-01-01,11616548460676.7
1981-01-01,11616548460676.7
1981-01-01,11616548460676.7
1981-01-01,11616548460676.7
1982-01-01,11507419044047.1
1982-01-01,11507419044047.1
1982-01-01,11507419044047.1
1982-01-01,11507419044047.1
1982-01-01,11507419044047.1
1982-01-01,11507419044047.1
1982-01-01,11507419044047.1
1982-01-01,11507419044047.1
1982-01-01,11507419044047.1
1982-01-01,11507419044047.1
1982-01-01,11507419044047.1
1982-01-01,11507419044047.1
1983-01-01,11739581031767.4
1983-01-01,11739581031767.4
1983-01-01,11739581031767.4
1983-01-01,11739581031767.4
1983-01-01,11739581031767.4
1983-01-01,11739581031767.4
1983-01-01,11739581031767.4
1983-01-01,11739581031767.4
1983-01-01,11739581031767.4
1983-01-01,11739581031767.4
1983-01-01,11739581031767.4
1983-01-01,11739581031767.4
1984-01-01,12172632270220.0
1984-01-01,12172632270220.0
1984-01-01,12172632270220.0
1984-01-01,12172632270220.0
1984-01-01,12172632270220.0
1984-01-01,12172632270220.0
1984-01-01,12172632270220.0
1984-01-01,12172632270220.0
1984-01-01,12172632270220.0
1984-01-01,12172632270220.0
1984-01-01,12172632270220.0
1984-01-01,12172632270220.0
1985-01-01,12786868776197.2
1985-01-01,12786868776197.2
1985-01-01,12786868776197.2
1985-01-01,12786868776197.2
1985-01-01,12786868776197.2
1985-01-01,12786868776197.2
1985-01-01,12786868776197.2
1985-01-01,12786868776197.2
1985-01-01,12786868776197.2
1985-01-01,12786868776197.2
1985-01-01,12786868776197.2
1985-01-01,12786868776197.2
1986-01-01,15109518321326.6
1986-01-01,15109518321326.6
1986-01-01,15109518321326.6
1986-01-01,15109518321326.6
1986-01-01,15109518321326.6
1986-01-01,15109518321326.6
1986-01-01,15109518321326.6
1986-01-01,15109518321326.6
1986-01-01,15109518321326.6
1986-01-01,15109518321326.6
1986-01-01,15109518321326.6
1986-01-01,15109518321326.6
1987-01-01,17186317201890.2
1987-01-01,17186317201890.2
1987-01-01,17186317201890.2
1987-01-01,17186317201890.2
1987-01-01,17186317201890.2
1987-01-01,17186317201890.2
1987-01-01,17186317201890.2
1987-01-01,17186317201890.2
1987-01-01,17186317201890.2
1987-01-01,17186317201890.2
1987-01-01,17186317201890.2
1987-01-01,17186317201890.2
1988-01-01,19226665300870.3
1988-01-01,19226665300870.3
1988-01-01,19226665300870.3
1988-01-01,19226665300870.3
1988-01-01,19226665300870.3
1988-01-01,19226665300870.3
1988-01-01,19226665300870.3
1988-01-01,19226665300870.3
1988-01-01,19226665300870.3
1988-01-01,19226665300870.3
1988-01-01,19226665300870.3
1988-01-01,19226665300870.3
1989-01-01,20068920934036.3
1989-01-01,20068920934036.3
1989-01-01,20068920934036.3
1989-01-01,20068920934036.3
1989-01-01,20068920934036.3
1989-01-01,20068920934036.3
1989-01-01,20068920934036.3
1989-01-01,20068920934036.3
1989-01-01,20068920934036.3
1989-01-01,20068920934036.3
1989-01-01,20068920934036.3
1989-01-01,20068920934036.3
1990-01-01,22603206098495.3
1990-01-01,22603206098495.3
1990-01-01,22603206098495.3
1990-01-01,22603206098495.3
1990-01-01,22603206098495.3
1990-01-01,22603206098495.3
1990-01-01,22603206098495.3
1990-01-01,22603206098495.3
1990-01-01,22603206098495.3
1990-01-01,22603206098495.3
1990-01-01,22603206098495.3
1990-01-01,22603206098495.3
1991-01-01,23942384829866.4
1991-01-01,23942384829866.4
1991-01-01,23942384829866.4
1991-01-01,23942384829866.4
1991-01-01,23942384829866.4
1991-01-01,23942384829866.4
1991-01-01,23942384829866.4
1991-01-01,23942384829866.4
1991-01-01,23942384829866.4
1991-01-01,23942384829866.4
1991-01-01,23942384829866.4
1991-01-01,23942384829866.4
1992-01-01,25425855198396.5
1992-01-01,25425855198396.5
1992-01-01,25425855198396.5
1992-01-01,25425855198396.5
1992-01-01,25425855198396.5
1992-01-01,25425855198396.5
1992-01-01,25425855198396.5
1992-01-01,25425855198396.5
1992-01-01,25425855198396.5
1992-01-01,25425855198396.5
1992-01-01,25425855198396.5
1992-01-01,25425855198396.5
1993-01-01,25838198034038.6
1993-01-01,25838198034038.6
1993-01-01,25838198034038.6
1993-01-01,25838198034038.6
1993-01-01,25838198034038.6
1993-01-01,25838198034038.6
1993-01-01,25838198034038.6
1993-01-01,25838198034038.6
1993-01-01,25838198034038.6
1993-01-01,25838198034038.6
1993-01-01,25838198034038.6
1993-01-01,25838198034038.6
1994-01-01,27753090818176.4
1994-01-01,27753090818176.4
1994-01-01,27753090818176.4
1994-01-01,27753090818176.4
1994-01-01,27753090818176.4
1994-01-01,27753090818176.4
1994-01-01,27753090818176.4
1994-01-01,27753090818176.4
1994-01-01,27753090818176.4
1994-01-01,27753090818176.4
1994-01-01,27753090818176.4
1994-01-01,27753090818176.4
1995-01-01,30865108095791.8
1995-01-01,30865108095791.8
1995-01-01,30865108095791.8
1995-01-01,30865108095791.8
1995-01-01,30865108095791.8
1995-01-01,30865108095791.8
1995-01-01,30865108095791.8
1995-01-01,30865108095791.8
1995-01-01,30865108095791.8
1995-01-01,30865108095791.8
1995-01-01,30865108095791.8
1995-01-01,30865108095791.8
1996-01-01,31549409160506.7
1996-01-01,31549409160506.7
1996-01-01,31549409160506.7
1996-01-01,31549409160506.7
1996-01-01,31549409160506.7
1996-01-01,31549409160506.7
1996-01-01,31549409160506.7
1996-01-01,31549409160506.7
1996-01-01,31549409160506.7
1996-01-01,31549409160506.7
1996-01-01,31549409160506.7
1996-01-01,31549409160506.7
