,NA000334Q,Oil,Weekly U.S. Ending Stocks of Crude Oil  (Thousand Barrels)
2018-07-01,5209973,861.0,1067516.0
2018-07-01,5209973,861.0,1067516.0
2018-07-01,5209973,861.0,1067516.0
2018-10-01,5311394,869.0,1075733.0
2018-10-01,5311394,869.0,1075733.0
2018-10-01,5311394,869.0,1075733.0
2019-01-01,5148400,866.0,1091079.0
2019-01-01,5148400,866.0,1091079.0
2019-01-01,5148400,866.0,1091079.0
2019-04-01,5360917,823.0,1109717.0
2019-04-01,5360917,823.0,1109717.0
2019-04-01,5360917,823.0,1109717.0
2019-07-01,5404459,781.0,1093931.0
2019-07-01,5404459,781.0,1093931.0
2019-07-01,5404459,781.0,1093931.0
