,NA000334Q,Oil,Weekly U.S. Ending Stocks of Crude Oil  (Thousand Barrels)
1966-01-01,191022,,
1966-01-01,191022,,
1966-04-01,201635,,
1966-04-01,201635,,
1966-04-01,201635,,
1966-07-01,203439,,
1966-07-01,203439,,
1966-07-01,203439,,
1966-10-01,217316,,
1966-10-01,217316,,
1966-10-01,217316,,
1967-01-01,204098,,
1967-01-01,204098,,
1967-01-01,204098,,
1967-04-01,213246,,
1967-04-01,213246,,
1967-04-01,213246,,
1967-07-01,214456,,
1967-07-01,214456,,
1967-07-01,214456,,
1967-10-01,228140,,
1967-10-01,228140,,
1967-10-01,228140,,
1968-01-01,218405,,
1968-01-01,218405,,
1968-01-01,218405,,
1968-04-01,234781,,
1968-04-01,234781,,
1968-04-01,234781,,
1968-07-01,235737,,
1968-07-01,235737,,
1968-07-01,235737,,
1968-10-01,251704,,
1968-10-01,251704,,
1968-10-01,251704,,
1969-01-01,238912,,
1969-01-01,238912,,
1969-01-01,238912,,
1969-04-01,254764,,
1969-04-01,254764,,
1969-04-01,254764,,
1969-07-01,255302,,
1969-07-01,255302,,
1969-07-01,255302,,
1969-10-01,268638,,
1969-10-01,268638,,
1969-10-01,268638,,
1970-01-01,253998,,
1970-01-01,253998,,
1970-01-01,253998,,
1970-04-01,268532,,
1970-04-01,268532,,
1970-04-01,268532,,
1970-07-01,268019,,
1970-07-01,268019,,
1970-07-01,268019,,
1970-10-01,282764,,
1970-10-01,282764,,
1970-10-01,282764,,
1971-01-01,273782,,
1971-01-01,273782,,
1971-01-01,273782,,
1971-04-01,291216,,
1971-04-01,291216,,
1971-04-01,291216,,
1971-07-01,291043,,
1971-07-01,291043,,
1971-07-01,291043,,
1971-10-01,308808,,
1971-10-01,308808,,
1971-10-01,308808,,
1972-01-01,299204,,
1972-01-01,299204,,
1972-01-01,299204,,
1972-04-01,318894,,
1972-04-01,318894,,
1972-04-01,318894,,
1972-07-01,319052,,
1972-07-01,319052,,
1972-07-01,319052,,
1972-10-01,341962,,
1972-10-01,341962,,
1972-10-01,341962,,
1973-01-01,333807,,
1973-01-01,333807,,
1973-01-01,333807,,
1973-04-01,354356,,
1973-04-01,354356,,
1973-04-01,354356,,
1973-07-01,354349,,
1973-07-01,354349,,
1973-07-01,354349,,
1973-10-01,382865,,
1973-10-01,382865,,
1973-10-01,382865,,
1974-01-01,361840,,
1974-01-01,361840,,
1974-01-01,361840,,
1974-04-01,384120,,
1974-04-01,384120,,
1974-04-01,384120,,
1974-07-01,385975,,
1974-07-01,385975,,
1974-07-01,385975,,
1974-10-01,413310,,
1974-10-01,413310,,
1974-10-01,413310,,
1975-01-01,391688,,
1975-01-01,391688,,
1975-01-01,391688,,
1975-04-01,414253,,
1975-04-01,414253,,
1975-04-01,414253,,
1975-07-01,423323,,
1975-07-01,423323,,
1975-07-01,423323,,
1975-10-01,455641,,
1975-10-01,455641,,
1975-10-01,455641,,
1976-01-01,441178,,
1976-01-01,441178,,
1976-01-01,441178,,
1976-04-01,465343,,
1976-04-01,465343,,
1976-04-01,465343,,
1976-07-01,466535,,
1976-07-01,466535,,
1976-07-01,466535,,
1976-10-01,500358,,
1976-10-01,500358,,
1976-10-01,500358,,
1977-01-01,481996,,
1977-01-01,481996,,
1977-01-01,481996,,
1977-04-01,515010,,
1977-04-01,515010,,
1977-04-01,515010,,
1977-07-01,526844,,
1977-07-01,526844,,
1977-07-01,526844,,
1977-10-01,557979,,
1977-10-01,557979,,
1977-10-01,557979,,
1978-01-01,534990,,
1978-01-01,534990,,
1978-01-01,534990,,
1978-04-01,583171,,
1978-04-01,583171,,
1978-04-01,583171,,
1978-07-01,596032,,
1978-07-01,596032,,
1978-07-01,596032,,
1978-10-01,637402,,
1978-10-01,637402,,
1978-10-01,637402,,
1979-01-01,618499,,
1979-01-01,618499,,
1979-01-01,618499,,
1979-04-01,648326,,
1979-04-01,648326,,
1979-04-01,648326,,
1979-07-01,658706,,
1979-07-01,658706,,
1979-07-01,658706,,
1979-10-01,701800,,
1979-10-01,701800,,
1979-10-01,701800,,
1980-01-01,683564,,
1980-01-01,683564,,
1980-01-01,683564,,
1980-04-01,698570,,
1980-04-01,698570,,
1980-04-01,698570,,
1980-07-01,707671,,
1980-07-01,707671,,
1980-07-01,707671,,
1980-10-01,767505,,
1980-10-01,767505,,
1980-10-01,767505,,
1981-01-01,758799,,
1981-01-01,758799,,
1981-01-01,758799,,
1981-04-01,791530,,
1981-04-01,791530,,
1981-04-01,791530,,
1981-07-01,811659,,
1981-07-01,811659,,
1981-07-01,811659,,
1981-10-01,845052,,
1981-10-01,845052,,
1981-10-01,845052,,
1982-01-01,803715,,
1982-01-01,803715,,
1982-01-01,803715,,
1982-04-01,831458,,
1982-04-01,831458,,
1982-04-01,831458,,
1982-07-01,834528,,
1982-07-01,834528,,
1982-07-01,834528,,
1982-10-01,874081,,613856.0
1982-10-01,874081,,613856.0
1982-10-01,874081,,613856.0
1983-01-01,850380,,631211.0
1983-01-01,850380,,631211.0
1983-01-01,850380,,631211.0
1983-04-01,895388,,651855.0
1983-04-01,895388,,651855.0
1983-04-01,895388,,651855.0
1983-07-01,916516,,662959.0
1983-07-01,916516,,662959.0
1983-07-01,916516,,662959.0
1983-10-01,971755,,694867.0
1983-10-01,971755,,694867.0
1983-10-01,971755,,694867.0
1984-01-01,962905,,710875.0
1984-01-01,962905,,710875.0
1984-01-01,962905,,710875.0
1984-04-01,1002687,,716572.0
1984-04-01,1002687,,716572.0
1984-04-01,1002687,,716572.0
1984-07-01,1011924,,751166.0
1984-07-01,1011924,,751166.0
1984-07-01,1011924,,751166.0
1984-10-01,1060096,,749612.0
1984-10-01,1060096,,749612.0
1984-10-01,1060096,,749612.0
1985-01-01,1033006,,774444.0
